RXN0-4261 AFE_2213
1.7.2.2-RXN AFE_3180
URITRANS-RXN AFE_2122
SUCCINYLDIAMINOPIMTRANS-RXN AFE_1264
DIMETHUROPORDEHYDROG-RXN AFE_3206
SIROHEME-FERROCHELAT-RXN AFE_3206
RXN-8675 AFE_3206
UROPORIIIMETHYLTRANSA-RXN AFE_3206
RXN-2962 AFE_2343
3.2.1.141-RXN AFE_1014
RXN0-5181 AFE_1014
RXN-1823 AFE_1014
5.4.99.15-RXN AFE_1014
RXN-1825 AFE_1014
ALPHA-AMYL-RXN AFE_1014
KDOTRANS2-RXN AFE_2791
KDOTRANS-RXN AFE_2791
1.6.99.5-RXN AFE_0477
NADH-DEHYDROGENASE-QUINONE-RXN AFE_0477
RXN0-262 AFE_1019
3.1.13.1-RXN AFE_1196
UROGENIIISYN-RXN AFE_3034
RIBOFLAVIN-SYN-RXN AFE_2730
TRANS-RXN9AR-16490 AFE_1588
GLU6PDEHYDROG-RXN AFE_1069
RXN-7908 AFE_1226
2.3.1.157-RXN AFE_3131
NAG1P-URIDYLTRANS-RXN AFE_3131
GTP-CYCLOHYDRO-II-RXN AFE_2729
TRNA-NUCLEOTIDYLTRANSFERASE-RXN AFE_0758
PEPDEPHOS-RXN AFE_3084
RXN0-901 AFE_2264
RXN0-902 AFE_2264
2.1.1.72-RXN AFE_2356
CYT-UBIQUINOL-OXID-RXN AFE_2093
RXN0-5266 AFE_2093
TRANS-RXN9AR-16572 AFE_0148
ACSERLY-RXN AFE_0276
SULFOCYS-RXN AFE_0276
R17-RXN AFE_1293
IGPSYN-RXN AFE_3091
1.7.2.2-RXN AFE_1655
RXN-11302 AFE_1132
RXN-11351 AFE_1132
RXN-11065 AFE_1132
3.4.16.4-RXN AFE_1132
2.7.7.60-RXN AFE_2662
RXN-9243 AFE_3094
RXN0-5055 AFE_1622
ACETYL-COA-CARBOXYLTRANSFER-RXN AFE_1622
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN AFE_1688
R601-RXN AFE_1688
L-ASPARTATE-OXID-RXN AFE_1688
RXN-9772 AFE_1688
3-ISOPROPYLMALDEHYDROG-RXN AFE_1020
GLUTAMIDOTRANS-RXN AFE_0064
PEPTIDYLPROLYL-ISOMERASE-RXN AFE_2516
H2SOXIREDPYRO-RXN AFE_0919
1.97.1.3-RXN AFE_0919
RXN-8269 AFE_0919
RIB5PISOM-RXN AFE_2410
UMPKI-RXN AFE_1638
ASNSYNB-RXN AFE_1728
RXN0-2601 AFE_0424
4.2.99.18-RXN AFE_0424
DIHYDROOROTATE-DEHYDROGENASE-RXN AFE_0834
DIHYDROOROTOX-RXN AFE_0834
2.1.1.72-RXN AFE_0732
6.3.2.10-RXN AFE_2816
UDP-NACMURALGLDAPAALIG-RXN AFE_2816
